Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,555,17.0,28,500.0,0,0,0,3.06,5.05,60.71,6
2020-01-23,654,18.0,30,584.0,99,1,2,2.75,4.59,60.0,8
2020-01-24,941,25.0,36,850.0,287,7,6,2.66,3.83,69.44,9
2020-01-25,1434,41.0,39,1297.0,493,16,3,2.86,2.72,105.13,11
2020-01-26,2118,54.0,52,1936.0,684,13,13,2.55,2.46,103.85,13
2020-01-27,2927,80.0,61,2682.0,809,26,9,2.73,2.08,131.15,16
2020-01-28,5578,129.0,107,5193.0,2651,49,46,2.31,1.92,120.56,16
2020-01-29,6167,131.0,125,5710.0,589,2,18,2.12,2.03,104.8,18
2020-01-30,8235,168.0,141,7686.0,2068,37,16,2.04,1.71,119.15,20
2020-01-31,9927,210.0,219,9209.0,1692,42,78,2.12,2.21,95.89,23
2020-02-01,12038,256.0,281,11144.0,2111,46,62,2.13,2.33,91.1,25
2020-02-02,16787,358.0,459,15570.0,4749,102,178,2.13,2.73,78.0,25
2020-02-03,19887,422.0,604,18400.0,3100,64,145,2.12,3.04,69.87,25
2020-02-04,23898,488.0,821,22075.0,4011,66,217,2.04,3.44,59.44,26
2020-02-05,27643,560.0,1071,25437.0,3745,72,250,2.03,3.87,52.29,26
2020-02-06,30803,629.0,1418,28136.0,3160,69,347,2.04,4.6,44.36,26
2020-02-07,34335,714.0,1903,31036.0,3532,85,485,2.08,5.54,37.52,26
2020-02-08,37069,799.0,2470,33099.0,2734,85,567,2.16,6.66,32.35,26
2020-02-09,40096,898.0,3057,35421.0,3027,99,587,2.24,7.62,29.38,26
2020-02-10,42634,1004.0,3714,37175.0,2538,106,657,2.35,8.71,27.03,26
2020-02-11,44676,1103.0,4417,38385.0,2042,99,703,2.47,9.89,24.97,26
2020-02-12,46562,1108.0,4849,38317.0,1886,5,432,2.38,10.41,22.85,26
2020-02-13,60207,1360.0,5930,52122.0,13645,252,1081,2.26,9.85,22.93,26
2020-02-14,66691,1510.0,7613,56790.0,6484,150,1683,2.26,11.42,19.83,27
2020-02-15,68766,1653.0,8902,57479.0,2075,143,1289,2.4,12.95,18.57,27
2020-02-16,70880,1757.0,10319,58074.0,2114,104,1417,2.48,14.56,17.03,27
2020-02-17,72816,1855.0,11951,58295.0,1936,98,1632,2.55,16.41,15.52,27
2020-02-18,74610,1995.0,13693,58268.0,1794,140,1742,2.67,18.35,14.57,27
2020-02-19,75031,2107.0,15394,56893.0,421,112,1701,2.81,20.52,13.69,28
